股票代码,股票名称,2020年分红,2020年收盘价,2020年股息率(%),2021年分红,2021年收盘价,2021年股息率(%),2022年分红,2022年收盘价,2022年股息率(%),2023年分红,2023年收盘价,2023年股息率(%),2024年分红,2024年收盘价,2024年股息率(%),2025年分红,2025年收盘价,2025年股息率(%),2020-2025年累计分红,2020-2025年平均股息率(%)
sz.301087,可孚医疗,0.0,0.0,0.0,0.0,78.91,0.0,1.6,36.48,4.39,1.2,37.9,3.17,1.8,35.36,5.09,1.8,43.78,4.11,6.4,4.19
sz.301088,戎美股份,0.0,0.0,0.0,0.0,25.9,0.0,0.178,17.33,1.03,0.366,15.23,2.4,0.477,13.49,3.54,0.571,14.8,3.86,1.592,2.71
sz.301109,军信股份,0.0,0.0,0.0,0.0,0.0,0.0,0.38,15.82,2.4,0.9,15.8,5.7,0.9,16.68,5.4,0.9,14.46,6.22,3.08,4.93
sz.301175,中科环保,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,0.0,0.055,4.99,1.1,0.1,5.4,1.85,0.195,5.42,3.6,0.35,2.18
sz.301206,三元生物,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,2.56,0.7,28.88,2.42,0.65,26.21,2.48,1.0,27.3,3.66,3.35,2.78
sz.301207,华兰疫苗,0.0,0.0,0.0,0.0,0.0,0.0,0.2,44.58,0.45,0.3,27.8,1.08,0.6,17.51,3.43,0.8,21.7,3.69,1.9,2.16
sz.301276,嘉曼服饰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.29,0.0,0.36,24.38,1.48,0.76,20.35,3.73,0.72,22.82,3.16,1.84,2.79
sz.301277,新天地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.87,0.0,0.5,20.81,2.4,0.4,13.83,2.89,0.4,12.29,3.25,1.3,2.85
sz.301299,卓创资讯,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.0,1.2,59.12,2.03,2.5,58.92,4.24,1.7,56.32,3.02,5.4,3.1
sz.301339,通行宝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.57,0.0,0.169,20.18,0.84,0.3,20.34,1.47,0.47,14.45,3.25,0.939,1.85
sz.301362,民爆光电,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,39.36,1.19,1.9264,39.22,4.91,1.895,41.23,4.6,4.2914,3.57
sz.301371,敷尔佳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.21,0.0,1.5,37.79,3.97,1.0,26.23,3.81,2.5,3.89
sz.301552,科力装备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.64,0.0,1.5,37.71,3.98,1.5,3.98
sz.301598,博科测试,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.95,0.0,2.0,61.67,3.24,2.0,3.24
