股票代码,股票名称,2025年累计分红,2025-11-28收盘价,股息率(%)
sh.600783,鲁信创投,0.07,14.79,0.47
sh.600784,鲁银投资,0.066,6.6,1.0
sh.600785,新华百货,0.35,13.9,2.52
sh.600787,中储股份,0.07,5.66,1.24
sh.600789,鲁抗医药,0.112,9.82,1.14
sh.600790,轻纺城,0.12,3.81,3.15
sh.600791,京能置业,0.0,5.37,0.0
sh.600792,云煤能源,0.0,4.39,0.0
sh.600793,宜宾纸业,0.0,22.22,0.0
sh.600794,保税科技,0.03,3.94,0.76
sh.600795,国电电力,0.21,5.63,3.73
sh.600796,钱江生化,0.031,6.33,0.49
sh.600797,浙大网新,0.0,10.82,0.0
sh.600798,宁波海运,0.02,3.76,0.53
sh.600800,渤海化学,0.0,4.11,0.0
sh.600801,华新建材,0.8,22.42,3.57
sh.600802,福建水泥,0.0,7.49,0.0
sh.600803,新奥股份,1.21,21.3,5.68
sh.600805,悦达投资,0.08,5.5,1.45
sh.600807,济高发展,0.0,3.47,0.0
sh.600808,马钢股份,0.0,3.91,0.0
sh.600809,山西汾酒,3.6,194.3,1.85
sh.600810,神马股份,0.05,8.69,0.58
sh.600812,华北制药,0.03,5.8,0.52
sh.600814,杭州解百,0.178,7.72,2.31
sh.600815,厦工股份,0.0,3.85,0.0
sh.600816,建元信托,0.0,2.9,0.0
sh.600817,宇通重工,0.38,11.07,3.43
sh.600818,中路股份,0.01,10.64,0.09
sh.600819,耀皮玻璃,0.035,8.22,0.43
sh.600820,隧道股份,0.3,6.32,4.75
sh.600821,金开新能,0.2,5.28,3.79
sh.600822,上海物贸,0.0,11.3,0.0
sh.600824,益民集团,0.018,4.61,0.39
sh.600825,新华传媒,0.012,6.88,0.17
sh.600826,兰生股份,0.28,11.89,2.35
sh.600827,百联股份,0.265,9.04,2.93
sh.600828,茂业商业,0.0,6.15,0.0
sh.600829,人民同泰,0.0,12.67,0.0
sh.600830,香溢融通,0.015,9.45,0.16
sh.600831,广电网络,0.0,4.85,0.0
sh.600833,第一医药,0.22,13.63,1.61
sh.600834,申通地铁,0.019,8.36,0.23
sh.600835,上海机电,0.42,30.88,1.36
sh.600838,上海九百,0.032,9.07,0.35
sh.600839,四川长虹,0.05,9.46,0.53
sh.600841,动力新科,0.0,6.19,0.0
sh.600843,上工申贝,0.0,11.37,0.0
sh.600844,金煤科技,0.0,3.34,0.0
sh.600845,宝信软件,0.6,21.35,2.81
sh.600846,同济科技,0.2,16.1,1.24
sh.600847,万里股份,0.0,12.52,0.0
sh.600848,上海临港,0.2,11.8,1.69
sh.600850,电科数字,0.41,26.07,1.57
sh.600851,海欣股份,0.04,6.87,0.58
sh.600853,龙建股份,0.04,4.19,0.95
sh.600854,春兰股份,0.12,5.36,2.24
sh.600855,航天长峰,0.0,17.19,0.0
sh.600857,宁波中百,0.0,14.81,0.0
sh.600858,银座股份,0.038,5.93,0.64
sh.600859,王府井,0.08,14.41,0.56
sh.600860,京城股份,0.0,12.07,0.0
sh.600861,北京人力,0.699,18.07,3.87
sh.600862,中航高科,0.249,20.93,1.19
sh.600863,内蒙华电,0.22,4.54,4.85
sh.600864,哈投股份,0.05,6.8,0.74
sh.600865,百大集团,0.18,9.61,1.87
sh.600866,星湖科技,0.38,6.84,5.56
sh.600867,通化东宝,0.25,8.79,2.84
sh.600868,梅雁吉祥,0.0,3.58,0.0
sh.600869,远东股份,0.0,6.92,0.0
sh.600871,石化油服,0.0,2.28,0.0
sh.600872,中炬高新,0.42,17.65,2.38
sh.600873,梅花生物,0.426,10.14,4.2
sh.600874,创业环保,0.17,5.98,2.84
sh.600875,东方电气,0.403,21.46,1.88
sh.600876,凯盛新能,0.0,10.18,0.0
sh.600877,电科芯片,0.0,15.54,0.0
sh.600879,航天电子,0.05,10.97,0.46
sh.600880,博瑞传播,0.01,5.39,0.19
sh.600881,亚泰集团,0.0,2.09,0.0
sh.600882,妙可蓝多,0.0,27.34,0.0
sh.600883,博闻科技,0.06,8.5,0.71
sh.600884,杉杉股份,0.0,12.87,0.0
sh.600885,宏发股份,0.515,29.11,1.77
sh.600886,国投电力,0.4565,13.77,3.32
sh.600887,伊利股份,1.7,29.38,5.79
sh.600888,新疆众和,0.27,7.74,3.49
sh.600889,南京化纤,0.0,15.02,0.0
sh.600892,*ST大晟,0.0,3.85,0.0
sh.600893,航发动力,0.097,37.18,0.26
sh.600894,广日股份,0.7,9.26,7.56
sh.600895,张江高科,0.22,41.32,0.53
sh.600897,厦门空港,0.32,16.26,1.97
sh.600900,长江电力,0.733,27.98,2.62
sh.600901,江苏金租,0.4,6.46,6.19
sh.600903,贵州燃气,0.0353,6.91,0.51
sh.600905,三峡能源,0.067,4.18,1.6
sh.600906,财达证券,0.13,6.86,1.9
sh.600908,无锡银行,0.33,6.05,5.45
sh.600909,华安证券,0.14,6.34,2.21
sh.600916,中国黄金,0.35,8.04,4.35
sh.600917,重庆燃气,0.082,5.75,1.43
sh.600918,中泰证券,0.025,6.63,0.38
sh.600919,江苏银行,0.2144,10.72,2.0
sh.600925,苏能股份,0.122,4.75,2.57
sh.600926,杭州银行,0.66,15.59,4.23
sh.600927,永安期货,0.09,14.34,0.63
sh.600928,西安银行,0.1,3.83,2.61
sh.600929,雪天盐业,0.087,5.87,1.48
sh.600930,华电新能,0.0,6.23,0.0
sh.600933,爱柯迪,0.3,19.22,1.56
sh.600935,华塑股份,0.0,2.65,0.0
sh.600936,广西广电,0.0,3.56,0.0
sh.600938,中国海油,1.2712,27.79,4.57
sh.600939,重庆建工,0.0,3.82,0.0
sh.600941,中国移动,4.7941,107.7,4.45
sh.600955,维远股份,0.03,15.18,0.2
sh.600956,新天绿能,0.21,7.7,2.73
sh.600958,东方证券,0.22,10.41,2.11
sh.600959,江苏有线,0.022,3.48,0.63
sh.600960,渤海汽车,0.0,5.09,0.0
sh.600961,株冶集团,0.0,14.99,0.0
sh.600962,国投中鲁,0.0,20.29,0.0
sh.600963,岳阳林纸,0.0301,4.33,0.7
sh.600965,福成股份,0.038,5.87,0.65
sh.600966,博汇纸业,0.0284,6.35,0.45
sh.600967,内蒙一机,0.07,17.27,0.41
sh.600968,海油发展,0.135,3.74,3.61
sh.600969,郴电国际,0.0,8.71,0.0
sh.600970,中材国际,0.45,9.31,4.83
sh.600971,恒源煤电,0.27,6.74,4.01
sh.600973,宝胜股份,0.0,5.17,0.0
sh.600975,新五丰,0.0,6.15,0.0
sh.600976,健民集团,0.9,37.06,2.43
sh.600977,中国电影,0.011,17.29,0.06
sh.600979,广安爱众,0.057,4.7,1.21
sh.600980,北矿科技,0.145,22.55,0.64
sh.600981,苏豪汇鸿,0.01,3.08,0.32
sh.600982,宁波能源,0.15,4.49,3.34
sh.600983,惠而浦,0.29,10.15,2.86
sh.600984,建设机械,0.0,4.37,0.0
sh.600985,淮北矿业,0.75,12.3,6.1
sh.600986,浙文互联,0.0,9.61,0.0
sh.600987,航民股份,0.4,7.14,5.6
sh.600988,赤峰黄金,0.16,32.0,0.5
sh.600989,宝丰能源,0.69,18.0,3.83
sh.600990,四创电子,0.0,25.85,0.0
sh.600992,贵绳股份,0.0,14.0,0.0
